Hora_entrada,Vuelos,Media_min,Mediana_min
0,9,14.003703703703703,16.016666666666666
1,21,17.961904761904762,18.966666666666665
2,8,10.39375,10.266666666666666
3,15,17.612222222222222,15.233333333333333
4,56,15.23154761904762,15.191666666666666
5,99,15.450168350168349,15.133333333333333
6,95,16.21578947368421,15.683333333333334
7,115,16.054347826086957,15.983333333333333
8,147,16.476417233560092,16.1
9,117,15.78048433048433,15.583333333333334
10,128,16.636328125,15.908333333333333
11,141,16.36950354609929,15.6
12,111,16.623573573573573,15.783333333333333
13,112,16.395684523809525,16.5
14,117,16.912108262108262,16.133333333333333
15,110,16.303484848484846,15.6
16,125,16.584533333333333,15.316666666666666
17,111,15.87012012012012,15.583333333333334
18,93,15.51057347670251,15.3
19,99,16.444107744107743,15.316666666666666
20,80,16.890208333333334,15.341666666666667
21,69,15.102657004830917,14.833333333333334
22,36,16.74398148148148,15.291666666666668
23,14,18.889285714285712,15.383333333333333
